merchant_id,merchant_name,merchant_category,onboarding_date,country,merchant_status,commission_rate
MERCH_0001,Zara MENA,fashion,2022-01-02,UAE,active,0.0237
MERCH_0002,H&M Middle East,fashion,2022-01-16,Kuwait,active,0.0349
MERCH_0003,Mango Fashion,fashion,2022-01-30,KSA,active,0.021
MERCH_0004,Centrepoint,fashion,2022-02-13,KSA,active,0.0473
MERCH_0005,Massimo Dutti,fashion,2022-02-27,UAE,active,0.0278
MERCH_0006,Pull&Bear UAE,fashion,2022-03-13,UAE,active,0.0399
MERCH_0007,Stradivarius,fashion,2022-03-27,UAE,active,0.0294
MERCH_0008,Brands for Less,fashion,2022-04-10,Egypt,active,0.0356
MERCH_0009,Splash Fashion,fashion,2022-04-24,KSA,active,0.0364
MERCH_0010,Ounass,fashion,2022-05-08,KSA,active,0.0255
MERCH_0011,The Giving Movement,fashion,2022-05-22,UAE,active,0.0491
MERCH_0012,Namshi,fashion,2022-06-05,Kuwait,active,0.0433
MERCH_0013,Level Shoes,fashion,2022-06-19,Egypt,active,0.0482
MERCH_0014,Sun & Sand Sports,fashion,2022-07-03,UAE,active,0.0468
MERCH_0015,Bloomingdale's,fashion,2022-07-17,UAE,active,0.0379
MERCH_0016,Noon Electronics,electronics,2022-07-31,UAE,active,0.0477
MERCH_0017,Jumbo Electronics,electronics,2022-08-14,UAE,active,0.0227
MERCH_0018,Sharaf DG,electronics,2022-08-28,KSA,active,0.0259
MERCH_0019,Emax,electronics,2022-09-11,UAE,active,0.0214
MERCH_0020,Virgin Megastore,electronics,2022-09-25,UAE,active,0.0298
MERCH_0021,Axiom Telecom,electronics,2022-10-09,KSA,active,0.0317
MERCH_0022,iStyle Apple,electronics,2022-10-23,UAE,active,0.0281
MERCH_0023,Samsung Gulf,electronics,2022-11-06,UAE,active,0.0449
MERCH_0024,Carrefour Electronics,electronics,2022-11-20,UAE,active,0.0307
MERCH_0025,Lulu Electronics,electronics,2022-12-04,UAE,active,0.0284
MERCH_0026,IKEA UAE,home,2022-12-18,KSA,active,0.0363
MERCH_0027,Home Centre,home,2023-01-01,UAE,active,0.0242
MERCH_0028,The One,home,2023-01-15,KSA,active,0.0441
MERCH_0029,Pottery Barn,home,2023-01-29,KSA,active,0.0222
MERCH_0030,West Elm,home,2023-02-12,UAE,active,0.0496
MERCH_0031,Danube Home,home,2023-02-26,KSA,active,0.0432
MERCH_0032,Pan Emirates,home,2023-03-12,UAE,active,0.026
MERCH_0033,2XL Furniture,home,2023-03-26,UAE,active,0.0202
MERCH_0034,Sephora Middle East,beauty,2023-04-09,Egypt,active,0.0445
MERCH_0035,Boots Pharmacy,beauty,2023-04-23,Kuwait,active,0.0412
MERCH_0036,Paris Gallery,beauty,2023-05-07,Egypt,active,0.0419
MERCH_0037,Faces,beauty,2023-05-21,UAE,active,0.0431
MERCH_0038,The Body Shop,beauty,2023-06-04,UAE,active,0.0222
MERCH_0039,MAC Cosmetics,beauty,2023-06-18,KSA,active,0.0308
MERCH_0040,Nykaa Fashion,beauty,2023-07-02,UAE,active,0.0235
